pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
SI,6/1/22,88.2,1.55,5.53,"Parke, John",656734,641949,walk,ball,,,,,12,Evan Mendoza walks.   Kramer Robertson to 2nd.,R,R,L,CLT,MEM,B,,,3,2,2022,1.08,0.09,1.1,2.83,,,670298,2,6,Top,,,,,,,-3.369063382,-128.5812648,-0.754581677,12.727432197655252,23.971468592075162,-31.18256553,3.24,1.67,,,,88.9,1611,6.4,666237,656024,664874,691503,624507,663853,592622,656514,650520,54.08,,0.688744,0.7,1,0,0,,45,6,Sinker,0,4,4,0,4,0,4,0,Infield shift,Standard,120,-0.006,0.206,,,,-0.206,,-4,4,0.082,0.918,27,26,27,26,3,2,,,,,2.8,1.08,-1.08,
FF,6/1/22,89.4,1.17,5.63,"Parke, John",656734,641949,,ball,,,,,13,Evan Mendoza walks.   Kramer Robertson to 2nd.,R,R,L,CLT,MEM,B,,,2,2,2022,0.75,0.9,-2.1,1.29,,,670298,2,6,Top,,,,,,,-9.666516622,-129.9371627,-6.687023158,10.266547354178558,22.954042526944722,-20.83119092,3.24,1.67,,,,90.3,1608,6.6,666237,656024,664874,691503,624507,663853,592622,656514,650520,53.95,,,,,,,,45,5,4-Seam Fastball,0,4,4,0,4,0,4,0,Infield shift,Standard,121,0,0.083,,,,-0.083,,-4,4,0.082,0.918,27,26,27,26,3,2,,,,,1.93,0.75,-0.75,
CH,6/1/22,80.2,1.7,5.15,"Parke, John",656734,641949,,ball,,,,,14,Evan Mendoza walks.   Kramer Robertson to 2nd.,R,R,L,CLT,MEM,B,,,1,2,2022,1.35,-0.25,0.73,0.89,,,670298,2,6,Top,,,,,,,-4.73918435,-116.7370368,-2.264144606,13.198325749512108,21.606765598115697,-34.2349986,3.24,1.67,,,,80.9,1515,6.7,666237,656024,664874,691503,624507,663853,592622,656514,650520,53.81,,,,,,,,45,4,Changeup,0,4,4,0,4,0,4,0,Infield shift,Standard,77,0,0.034,,,,-0.034,,-4,4,0.082,0.918,27,26,27,26,3,2,,,,,3.79,1.35,-1.35,
CH,6/1/22,78.4,1.67,5.23,"Parke, John",656734,641949,,ball,,,,,13,Evan Mendoza walks.   Kramer Robertson to 2nd.,R,R,L,CLT,MEM,B,,,0,1,2022,1.34,0,-0.22,1.31,,,670298,2,6,Top,,,,,,,-6.566463486,-113.9665856,-1.61323313,12.869993149691801,20.545819467128496,-32.05333121,3.24,1.67,,,,78.4,1604,6.3,666237,656024,664874,691503,624507,663853,592622,656514,650520,54.19,,,,,,,,45,2,Changeup,0,4,4,0,4,0,4,0,Infield shift,Standard,84,0,0.04,,,,-0.04,,-4,4,0.082,0.918,27,26,27,26,3,2,,,,,3.71,1.34,-1.34,
CH,6/1/22,82.6,1.64,5.15,"Parke, John",670298,641949,,ball,,,,,14,Kramer Robertson singles on a line drive to left fielder Mark Payton.,R,R,L,CLT,MEM,B,,,1,1,2022,1.21,-0.65,0.67,0.8,,,,2,6,Top,,,,,,,-4.585181881,-120.2434497,-2.117755876,12.649481995285164,24.44015382107326,-38.22447113,3.06,1.57,,,,82.9,1501,6.5,666237,656024,664874,691503,624507,663853,592622,656514,650520,53.96,,,,,,,,44,3,Changeup,0,4,4,0,4,0,4,0,Infield shade,Standard,87,0,0.024,,,,-0.024,,-4,4,0.085,0.915,27,27,27,28,3,2,,,,,4,1.21,-1.21,
CH,6/1/22,80.7,1.66,5.4,"Parke, John",670298,641949,,called_strike,,,,,12,Kramer Robertson singles on a line drive to left fielder Mark Payton.,R,R,L,CLT,MEM,S,,,1,0,2022,1.22,0.22,0.9,2.84,,,,2,6,Top,,,,,,,-4.055289107,-117.4479971,0.5413067590612826,12.075363913855728,22.287378278120816,-30.41655807,3.06,1.57,,,,81.3,1576,6.7,666237,656024,664874,691503,624507,663853,592622,656514,650520,53.78,,,,,,,,44,2,Changeup,0,4,4,0,4,0,4,0,Infield shade,Standard,88,0,-0.032,,,,0.032,,-4,4,0.085,0.915,27,27,27,28,3,2,,,,,3.27,1.22,-1.22,
FF,6/1/22,88.6,1.47,5.59,"Parke, John",670298,641949,,ball,,,,,12,Kramer Robertson singles on a line drive to left fielder Mark Payton.,R,R,L,CLT,MEM,B,,,0,0,2022,0.79,0.76,0.55,3.29,,,,2,6,Top,,,,,,,-3.918964532,-129.0347832,-1.182323428,9.628125991909352,25.123316822125368,-23.62509929,3.06,1.57,,,,89.3,1595,6.6,666237,656024,664874,691503,624507,663853,592622,656514,650520,53.94,,,,,,,,44,1,4-Seam Fastball,0,4,4,0,4,0,4,0,Infield shade,Standard,125,0,0.028,,,,-0.028,,-4,4,0.085,0.915,27,27,27,28,3,2,,,,,2.12,0.79,-0.79,
FF,6/1/22,90.1,1.47,5.65,"Parke, John",663609,641949,,ball,,,,,12,"Luken Baker grounds out sharply, shortstop Romy Gonzalez to first baseman Seby Zavala.",R,R,L,CLT,MEM,B,,,1,2,2022,0.84,0.91,0.07,4.23,,,,1,6,Top,,,,,,,-5.257532045,-131.3179927,0.42572080985565397,10.80456465534392,24.190893459803387,-21.83793429,3.33,1.71,,,,90.8,1757,6.3,666237,656024,664874,691503,624507,663853,592622,656514,650520,54.18,,,,,,,,43,4,4-Seam Fastball,0,4,4,0,4,0,4,0,Infield shift,Standard,120,0,0.035,,,,-0.035,,-4,4,0.081,0.919,27,25,27,25,3,2,,,,,1.86,0.84,-0.84,
CH,6/1/22,82.6,1.67,5.17,"Parke, John",663609,641949,,ball,,,,,14,"Luken Baker grounds out sharply, shortstop Romy Gonzalez to first baseman Seby Zavala.",R,R,L,CLT,MEM,B,,,0,1,2022,1.29,0.28,0.64,1.07,,,,1,6,Top,,,,,,,-4.849805766,-120.2718379,-3.412096632,13.434449083848543,22.45333805861481,-29.00635767,3.33,1.71,,,,82.9,1566,6.3,666237,656024,664874,691503,624507,663853,592622,656514,650520,54.16,,,,,,,,43,2,Changeup,0,4,4,0,4,0,4,0,Strategic,Strategic,86,0,0.04,,,,-0.04,,-4,4,0.081,0.919,27,25,27,25,3,2,,,,,3.05,1.29,-1.29,
CH,6/1/22,82.1,1.72,5.33,"Parke, John",663609,641949,,called_strike,,,,,14,"Luken Baker grounds out sharply, shortstop Romy Gonzalez to first baseman Seby Zavala.",R,R,L,CLT,MEM,S,,,0,0,2022,1.11,0.19,0.86,2.03,,,,1,6,Top,,,,,,,-4.145857439,-119.6428322,-1.369255644,11.508641192558017,20.789013466267036,-30.30445324,3.33,1.71,,,,83.2,1380,6.7,666237,656024,664874,691503,624507,663853,592622,656514,650520,53.76,,,,,,,,43,1,Changeup,0,4,4,0,4,0,4,0,Strategic,Strategic,90,0,-0.049,,,,0.049,,-4,4,0.081,0.919,27,25,27,25,3,2,,,,,3.16,1.11,-1.11,
FF,6/1/22,88.7,1.45,5.55,"Parke, John",668843,641949,,called_strike,,,,,4,Conner Capel flies out to left fielder Mark Payton.,R,L,L,CLT,MEM,S,,,3,0,2022,0.81,0.9,-0.34,2.26,,,,0,6,Top,,,,,,,-6.116218735,-129.0445846,-3.93104331,10.296721422591443,25.191698218335457,-21.43471183,3.19,1.64,,,,89.6,1653,6.7,666237,656024,664874,691503,624507,663853,592622,656514,650520,53.79,,,,,,,,42,4,4-Seam Fastball,0,4,4,0,4,0,4,0,,,119,0,-0.148,,,,0.148,,-4,4,0.074,0.926,27,25,27,25,3,2,,,,,1.98,0.81,0.81,
FC,6/1/22,83.7,1.79,5.29,"Parke, John",668843,641949,,ball,,,,,13,Conner Capel flies out to left fielder Mark Payton.,R,L,L,CLT,MEM,B,,,2,0,2022,-0.18,0.31,-1.08,1.73,,,,0,6,Top,,,,,,,-6.247850914,-121.8068001,-2.36885435,-0.535827575,25.08604194825665,-28.79963582,3.19,1.64,,,,83.5,2044,6.3,666237,656024,664874,691503,624507,663853,592622,656514,650520,54.24,,,,,,,,42,3,Cutter,0,4,4,0,4,0,4,0,,,287,0,0.161,,,,-0.161,,-4,4,0.074,0.926,27,25,27,25,3,2,,,,,2.95,-0.18,-0.18,
SI,6/1/22,87.2,1.63,5.53,"Parke, John",668843,641949,,ball,,,,,12,Conner Capel flies out to left fielder Mark Payton.,R,L,L,CLT,MEM,B,,,1,0,2022,1.19,0.41,2.28,3.13,,,,0,6,Top,,,,,,,-0.871870469,-127.162716,-0.498347475,13.14306671580307,24.55981853,-27.86169131,3.19,1.64,,,,87.6,1706,6.3,666237,656024,664874,691503,624507,663853,592622,656514,650520,54.18,,,,,,,,42,2,Sinker,0,4,4,0,4,0,4,0,,,124,0,0.115,,,,-0.115,,-4,4,0.074,0.926,27,25,27,25,3,2,,,,,2.57,1.19,1.19,
FC,6/1/22,83.1,1.74,5.37,"Parke, John",668843,641949,,ball,,,,,13,Conner Capel flies out to left fielder Mark Payton.,R,L,L,CLT,MEM,B,,,0,0,2022,-0.17,0.19,-0.89,2.28,,,,0,6,Top,,,,,,,-5.716245822,-120.8623888,-0.921986754,-0.441827005,25.776731591789186,-30.35067565,3.19,1.64,,,,83.3,2143,6.7,666237,656024,664874,691503,624507,663853,592622,656514,650520,53.82,,,,,,,,42,1,Cutter,0,4,4,0,4,0,4,0,,,302,0,0.071,,,,-0.071,,-4,4,0.074,0.926,27,25,27,25,3,2,,,,,3.14,-0.17,-0.17,
SI,6/1/22,89.2,1.42,5.65,"Parke, John",645305,641949,strikeout,called_strike,,,,,4,Ali Sanchez called out on strikes.,R,R,L,CLT,MEM,S,2,,3,2,2022,1.22,0.5,-0.81,2.3,,671056,,2,5,Top,,,,,,,-8.096073535,-129.7636768,-3.364587848,15.399472147390581,23.35769806063322,-26.0687686,3.19,1.64,,,,90.4,1595,6.7,666237,656024,664874,691503,624507,663853,592622,656514,650520,53.77,,0,0,1,0,0,,38,7,Sinker,0,4,4,0,4,0,4,0,Infield shade,Standard,121,0.012,-0.335,,,,0.335,,-4,4,0.099,0.901,27,25,27,25,3,2,,,,,2.34,1.22,-1.22,
CU,6/1/22,76.5,1.28,5.97,"Parke, John",645305,641949,,ball,,,,,13,Ali Sanchez called out on strikes.,R,R,L,CLT,MEM,B,,,2,1,2022,-0.8,-0.4,-0.94,2.2,,671056,,2,5,Top,,,,,,,-3.260149742,-111.3501543,-0.158129275,-5.997182435,20.921865238713973,-35.70576709,3.19,1.64,,,,76.9,2424,6.7,666237,656024,664874,691503,624507,663853,592622,656514,650520,53.84,,,,,,,,38,4,Curveball,0,4,4,0,4,0,4,0,Infield shade,Standard,303,0,0.075,,,,-0.075,,-4,4,0.099,0.901,27,25,27,25,3,2,,,,,4.31,-0.8,0.8,
SI,6/1/22,89.3,1.7,5.53,"Parke, John",645305,641949,,called_strike,,,,,9,Ali Sanchez called out on strikes.,R,R,L,CLT,MEM,S,,,2,0,2022,1.36,0.41,0.39,2.03,,671056,,2,5,Top,,,,,,,-6.118341896,-129.8786945,-3.468519628,16.696101683769335,26.145440710742484,-27.05166495,3.19,1.64,,,,89.7,1612,6.5,666237,656024,664874,691503,624507,663853,592622,656514,650520,54.04,,,,,,,,38,3,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,121,0,-0.075,,,,0.075,,-4,4,0.099,0.901,27,25,27,25,3,2,,,,,2.45,1.36,-1.36,
CH,6/1/22,80.5,1.84,5.32,"Parke, John",645305,641949,,ball,,,,,12,Ali Sanchez called out on strikes.,R,R,L,CLT,MEM,B,,,1,0,2022,1.2,0.4,1.47,2.78,,671056,,2,5,Top,,,,,,,-3.108943532,-117.1480727,0.3155382182715145,11.621877822712197,23.492447261371847,-28.77795567,3.19,1.64,,,,80.6,1339,6.5,666237,656024,664874,691503,624507,663853,592622,656514,650520,53.97,,,,,,,,38,2,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,81,0,0.052,,,,-0.052,,-4,4,0.099,0.901,27,25,27,25,3,2,,,,,3.13,1.2,-1.2,
CH,6/1/22,80.1,1.69,5.41,"Parke, John",645305,641949,,ball,,,,,14,Ali Sanchez called out on strikes.,R,R,L,CLT,MEM,B,,,0,0,2022,1.35,0.22,1.54,2.31,,671056,,2,5,Top,,,,,,,-2.885155445,-116.6717821,-0.533831951,12.858731825611748,23.08005380273311,-30.2696052,3.19,1.64,,,,80.3,1522,6.5,666237,656024,664874,691503,624507,663853,592622,656514,650520,54.01,,,,,,,,38,1,Changeup,0,4,4,0,4,0,4,0,Infield shade,Standard,90,0,0.047,,,,-0.047,,-4,4,0.099,0.901,27,25,27,25,3,2,,,,,3.34,1.35,-1.35,
SI,6/1/22,89,1.68,5.5,"Parke, John",657557,641949,,ball,,,,,13,"Paul DeJong grounds out, shortstop Romy Gonzalez to first baseman Seby Zavala.",R,R,L,CLT,MEM,B,,,0,1,2022,1.35,0.21,-0.24,1.2,,671056,676475,0,5,Top,,,,,,,-7.521199815,-129.3912989,-4.949686216,16.70211564936315,27.16169063083515,-29.00623299,3.15,1.62,,,,89,1645,6.4,666237,656024,664874,691503,624507,663853,592622,656514,650520,54.15,,,,,,,,37,2,Sinker,0,4,4,0,4,0,4,0,Infield shade,Standard,120,0.02,0.129,,,,-0.129,,-4,4,0.068,0.932,27,28,27,29,3,2,,,,,2.68,1.35,-1.35,
SI,6/1/22,88.2,1.48,5.68,"Parke, John",657557,641949,,called_strike,,,,,8,"Paul DeJong grounds out, shortstop Romy Gonzalez to first baseman Seby Zavala.",R,R,L,CLT,MEM,S,,,0,0,2022,1.33,0.47,-0.11,1.88,,671056,676475,0,5,Top,,,,,,,-6.674201457,-128.3093422,-4.175526694,16.059748780042046,25.16618443,-26.3389809,3.15,1.62,,,,88.8,1752,6.5,666237,656024,664874,691503,624507,663853,592622,656514,650520,53.96,,,,,,,,37,1,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,125,0,-0.166,,,,0.166,,-4,4,0.068,0.932,27,28,27,29,3,2,,,,,2.45,1.33,-1.33,
CH,6/1/22,81,1.73,5.37,"Parke, John",671056,641949,,ball,,,,,14,Ivan Herrera singles on a soft fly ball to left fielder Mark Payton.,R,R,L,CLT,MEM,B,,,1,2,2022,1.4,-0.11,1.99,1.73,,,,0,5,Top,,,,,,,-2.097825865,-117.8956735,-1.255162833,13.437434679314686,23.483321387679414,-33.19744728,3.11,1.6,,,,81.1,1610,6.4,666237,656024,664874,691503,624507,663853,592622,656514,650520,54.06,,,,,,,,35,4,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,85,0,0.053,,,,-0.053,,-4,4,0.095,0.905,27,22,27,22,3,2,,,,,3.6,1.4,-1.4,
